SITE_NO,node_id,node_lon,node_lat
3948,774545099,144.9583459,-37.8060861
3176,774545099,144.9583459,-37.8060861
5291,52452407,144.9367102,-37.8003421
5292,52452407,144.9367102,-37.8003421
524,774545099,144.9583459,-37.8060861
1263,774545099,144.9583459,-37.8060861
1264,774545099,144.9583459,-37.8060861
1259,774545099,144.9583459,-37.8060861
1159,2180345319,144.93711,-37.7740075
868,774545099,144.9583459,-37.8060861
921,774545099,144.9583459,-37.8060861
174,774545099,144.9583459,-37.8060861
40080,3374134102,144.9600834,-37.778076
40081,3374134102,144.9600834,-37.778076
40082,3374134102,144.9600834,-37.778076
40088,3374134102,144.9600834,-37.778076
40089,3374134102,144.9600834,-37.778076
3423,774545099,144.9583459,-37.8060861
2666,2180345319,144.93711,-37.7740075
565,774545099,144.9583459,-37.8060861
1440,774545099,144.9583459,-37.8060861
7541,774545099,144.9583459,-37.8060861
551,9515157446,144.9607317,-37.7919871
5130,3374134102,144.9600834,-37.778076
387,774545099,144.9583459,-37.8060861
5056,52452407,144.9367102,-37.8003421
5237,52452407,144.9367102,-37.8003421
5244,52452407,144.9367102,-37.8003421
5400,2180345319,144.93711,-37.7740075
5604,774545099,144.9583459,-37.8060861
5820,2180345319,144.93711,-37.7740075
5138,52452407,144.9367102,-37.8003421
5874,2180345319,144.93711,-37.7740075
6016,3374134102,144.9600834,-37.778076
6018,3374134102,144.9600834,-37.778076
2695,3374134102,144.9600834,-37.778076
3652,774545099,144.9583459,-37.8060861
1189,2180345319,144.93711,-37.7740075
1746,774545099,144.9583459,-37.8060861
504,774545099,144.9583459,-37.8060861
559,774545099,144.9583459,-37.8060861
6333,2180345319,144.93711,-37.7740075
1205,2180345319,144.93711,-37.7740075
5158,774545099,144.9583459,-37.8060861
1217,3374134102,144.9600834,-37.778076
6616,774545099,144.9583459,-37.8060861
2932,774545099,144.9583459,-37.8060861
2942,3374134102,144.9600834,-37.778076
4765,774545099,144.9583459,-37.8060861
4797,3374134102,144.9600834,-37.778076
4826,774545099,144.9583459,-37.8060861
3208,774545099,144.9583459,-37.8060861
3209,774545099,144.9583459,-37.8060861
3210,702452273,144.9420045,-37.8043054
3216,3374134102,144.9600834,-37.778076
3217,3374134102,144.9600834,-37.778076
3218,3374134102,144.9600834,-37.778076
3219,3374134102,144.9600834,-37.778076
873,774545099,144.9583459,-37.8060861
973,774545099,144.9583459,-37.8060861
568,774545099,144.9583459,-37.8060861
3437,6646643418,144.936422,-37.7934532
2294,774545099,144.9583459,-37.8060861
3139,774545099,144.9583459,-37.8060861
2817,2180345319,144.93711,-37.7740075
2020,774545099,144.9583459,-37.8060861
1050,774545099,144.9583459,-37.8060861
6661,774545099,144.9583459,-37.8060861
6830,52452407,144.9367102,-37.8003421
1094,774545099,144.9583459,-37.8060861
3668,774545099,144.9583459,-37.8060861
1110,774545099,144.9583459,-37.8060861
1116,774545099,144.9583459,-37.8060861
3088,52452407,144.9367102,-37.8003421
3497,774545099,144.9583459,-37.8060861
5297,52452407,144.9367102,-37.8003421
2961,774545099,144.9583459,-37.8060861
5248,52452407,144.9367102,-37.8003421
2022,774545099,144.9583459,-37.8060861
1120,774545099,144.9583459,-37.8060861
2194,2180345319,144.93711,-37.7740075
1048,3374134102,144.9600834,-37.778076
5873,2180345319,144.93711,-37.7740075
6614,774545099,144.9583459,-37.8060861
2343,774545099,144.9583459,-37.8060861
2344,774545099,144.9583459,-37.8060861
2345,774545099,144.9583459,-37.8060861
2346,774545099,144.9583459,-37.8060861
2347,774545099,144.9583459,-37.8060861
2348,774545099,144.9583459,-37.8060861
2349,774545099,144.9583459,-37.8060861
2350,774545099,144.9583459,-37.8060861
2402,774545099,144.9583459,-37.8060861
2404,774545099,144.9583459,-37.8060861
2406,774545099,144.9583459,-37.8060861
2408,774545099,144.9583459,-37.8060861
2410,774545099,144.9583459,-37.8060861
